lig,rec,g1,g2,g3,g4,g5,g6,g7,g8
H_O,O_DA,-0.02579,0.02234,0.03096,0.008307,0.003986,-0.003307,-0.05221,-0.05656
H_O,O_ba_DA,-0.01524,-0.02025,-0.01307,0.0101,0.003382,-0.008435,-0.04764,-0.04932
H_O,Met_DA,-0.002118,-0.01458,0.01937,0.04688,0.04536,0.00152,0.03793,0.04047
H_O,N_A,0.006952,-0.0001403,0.01599,0.00867,0.007154,0.00189,0.002272,0.007541
H_O,N_a_A,-0.001162,-0.00293,0.005628,0.02075,0.02554,0.02737,-0.0001683,-0.007973
H_O,O_A,0.02738,0.01011,0.01927,-0.01967,-0.01139,0.01361,0.02149,-0.005841
H_O,O_a_A,-0.005399,0.01113,-9.63e-05,0.01151,-0.005581,0.01056,0.001261,-0.0002456
H_O,On_A,-0.009328,0.004073,-0.01804,-0.04515,-0.06336,-0.0556,-0.07843,-0.08758
H_O,O_SP2_A,0.07691,0.08506,0.0999,0.06972,0.02425,0.001723,-0.007238,0.02011
H_O,O_AMID,-0.01193,0.02205,-0.01453,-0.02463,-0.02719,-0.05367,-0.103,-0.1519
H_O,O_CAR,0.05529,0.04142,0.02251,-0.003518,-0.02692,-0.03941,-0.02921,-0.01736
H_O,O_ALD,0.08121,0.1133,0.2309,0.3625,0.4361,0.3271,0.1626,0.0604
H_O,N,0.01452,-0.005474,-0.01624,-0.04175,-0.03393,-0.01674,-0.01666,-0.02896
H_O,Np,0.007904,0.008732,0.02458,-0.007907,-0.01587,0.0231,0.04365,0.0288
H_O,N_SP,-0.002273,-0.003552,-0.01274,0.004189,0.0145,0.01113,-0.01055,0.0023
H_O,O,0.004792,0.008019,-0.01425,-0.01641,0.001134,0.003077,0.002037,0.01086
H_O,On,0.01098,0.004355,0.009249,0.009212,0.005787,-0.003304,-0.01618,0.004556
H_O,S,0.02602,0.03368,0.01005,-0.03475,-0.06972,-0.03551,0.02786,0.04545
H_O,S_a,-0.001113,0.004022,-0.01171,0.004732,0.007321,-0.004506,0.004507,-0.02326
H_O,S_H,0.0332,0.01438,0.002534,-0.02584,-0.02555,-0.04215,-0.04442,-0.03598
H_O,P,-0.0504,-0.0464,-0.001663,0.01919,-0.003253,-0.001947,-0.01392,-0.002695
H_O,U,0.03872,0.006558,-0.0002027,-0.01616,0.01061,0.03545,-0.005865,-0.02643
H_S,H,0.002976,0.0234,0.008265,0.009609,-0.001524,0.01164,-0.02315,-0.08609
H_S,H_N,-0.01747,-0.02051,-0.007088,-0.02121,-0.002006,-0.002626,-0.01409,-0.02677
H_S,H_O,0.02981,0.01436,-0.01745,-0.04332,-0.03526,-0.06585,-0.1032,-0.07694
H_S,H_S,-0.01702,-0.04907,-0.07804,-0.1085,-0.07722,-0.05576,-0.05307,-0.03872
H_S,H_ba,-0.008036,-0.03572,-0.08118,-0.04883,-0.05505,-0.08682,-0.09343,-0.07145
H_S,C,0.02322,0.04605,0.0043,-0.01883,-0.03743,-0.001802,-0.01447,-0.01522
H_S,C_a,0.0379,0.01806,0.0004883,-0.01142,-0.05541,-0.06951,-0.08451,-0.1256
H_S,C_SP2,0.0508,0.0283,0.019,0.04049,0.09752,0.05445,0.0219,-0.05261
H_S,C_SP,-0.009464,0.005384,0.009817,0.01118,0.01089,0.01518,-0.00959,0.01539
H_S,F,0.02694,-0.004557,0.003283,0.01228,0.01062,0.01667,-0.02615,-0.01906
H_S,F_ba,0.02224,0.002098,-0.01657,-0.01662,0.02293,-0.0119,-0.006644,-0.0007688
H_S,Cl,0.01296,0.01186,0.01806,-0.009249,0.01689,-0.008238,-0.0116,0.01402
H_S,Cl_ba,0.002677,-0.003025,0.009085,0.006191,-0.0122,-0.02564,0.02406,0.03104
H_S,Br,0.01276,-0.00671,-0.005428,-0.01043,0.01969,0.002851,0.02437,0.04353
H_S,Br_ba,0.006844,0.003665,0.02022,-0.01523,-0.00909,-0.002938,0.005847,0.004993
H_S,I,0.01495,-0.001109,0.01116,-0.0008098,-0.005646,-0.003675,0.004962,0.004998
H_S,I_ba,0.01666,0.01108,0.0113,0.006137,-0.01074,-0.01236,0.01299,-0.00327
H_S,N_D,0.02483,0.007531,0.007628,0.003385,-0.004154,0.00239,-0.009105,-0.00284
H_S,N_a_D,0.07106,0.04994,0.0285,0.003387,0.0172,-0.02676,-0.03055,-0.03662
H_S,N_ba_D,0.07263,0.0412,0.04742,0.01859,0.02916,-0.005014,0.005437,0.01982
H_S,Np_D,0.02077,0.01161,0.009489,0.004846,0.05049,0.1736,0.2203,0.1428
H_S,N_SP2_D,-0.003113,-0.02016,0.02177,0.01472,-0.002542,0.02304,-0.01126,-0.006395
H_S,N_AMID_D,0.05651,0.04715,0.006607,-0.05318,-0.01263,-0.02938,-0.05797,-0.09219
H_S,Np_RES_D,0.07501,0.0229,-0.007879,-0.0211,0.00908,-0.03092,-0.06524,-0.02723
H_S,N_DA,0.02756,0.0004691,0.01743,-0.001251,0.0006587,0.004616,0.01132,0.004305
H_S,N_a_DA,0.02133,0.004749,0.01642,-0.0157,-0.04587,-0.05919,-0.04996,-0.03996
H_S,O_DA,0.02627,0.01603,0.02066,-0.007611,0.02961,0.01986,-0.05487,-0.07552
H_S,O_ba_DA,-0.02264,-0.02127,-0.036,-0.05305,-0.06416,-0.05964,-0.07758,-0.03418
H_S,Met_DA,-0.002702,-0.03528,-0.06834,-0.122,-0.09927,-0.07716,0.005662,0.03833
H_S,N_A,-0.01648,0.01949,-0.009126,0.006687,0.01565,-0.02071,0.003312,0.006483
H_S,N_a_A,-6.831e-07,-0.006134,-0.01918,-0.02343,-0.0002862,-0.03237,-0.0133,0.01163
H_S,O_A,0.02181,0.03368,0.01414,0.0002816,-0.08924,-0.1068,-0.04932,-0.02488
H_S,O_a_A,0.0162,0.01205,-0.0171,-0.006013,0.005103,0.003999,0.01085,-4.289e-05
H_S,On_A,0.02304,0.03868,0.05869,0.1055,0.05501,0.0241,-0.02725,-0.05267
H_S,O_SP2_A,0.03135,0.03341,0.07472,0.0576,0.0533,0.04457,-0.04791,0.009661
H_S,O_AMID,0.02123,0.05472,0.04293,0.07503,0.04605,-0.03855,-0.1189,-0.1006
H_S,O_CAR,0.02075,0.0026,-0.006291,-0.002218,-0.03915,-0.009523,-0.02857,-0.04128
H_S,O_ALD,0.0921,0.1052,0.1796,0.2573,0.3218,0.2874,0.2363,0.1636
H_S,N,0.05126,0.007911,-0.02342,-0.05876,-0.04351,0.006125,-0.008546,-0.05679
H_S,Np,0.008499,-0.005371,0.0009816,-0.01222,0.0243,0.01555,0.01442,0.03637
H_S,N_SP,0.02017,-0.002037,-0.002907,0.01238,0.02995,0.01496,0.01639,-0.03448
H_S,O,0.0006803,-0.01571,-0.01605,0.002796,0.001348,0.008407,0.03003,0.009614
H_S,On,0.003561,0.02343,-0.002013,0.00159,0.02553,0.00766,0.0002409,-0.00323
H_S,S,0.04204,0.055,0.03498,-0.004088,-0.009997,-0.0096,-0.0192,-0.06006
H_S,S_a,-0.009454,-0.004303,-0.01832,0.00336,0.004029,0.01006,-0.004713,0.01897
H_S,S_H,0.004767,-0.009193,-0.04303,-0.05727,-0.1148,-0.08542,-0.01611,0.02745
H_S,P,0.0605,0.05166,0.08148,0.07975,0.04608,-0.02128,-0.0462,-0.058
H_S,U,0.01074,-0.01761,0.002776,-0.03027,0.02027,-0.01393,-0.02002,-0.03041
H_ba,H,0.04363,-0.05798,-0.01933,0.03889,0.06239,-0.01215,-0.05148,-0.04784
H_ba,H_N,0.04761,0.0141,0.02058,0.07665,0.07168,-0.02431,-0.07143,-0.02984
H_ba,H_O,-0.02646,-0.03151,-0.03017,0.01573,0.04114,0.02206,0.007744,0.01329
H_ba,H_S,0.003296,-0.05837,-0.07031,0.02023,0.07373,0.06798,-0.04432,-0.131
H_ba,H_ba,0.03516,0.02522,0.004972,0.01291,-0.004588,-0.02348,-0.07115,-0.06301
H_ba,C,0.00203,0.01347,0.008118,-0.02681,-0.02999,0.01168,-0.05305,-0.08336
H_ba,C_a,0.02594,-0.04684,-0.06126,-0.002935,0.06835,0.0443,-0.02439,-0.0637
H_ba,C_SP2,0.07752,-0.01247,-0.1008,-0.05499,0.07656,0.08216,-0.02415,-0.103
H_ba,C_SP,0.01904,-0.007851,0.005624,-0.005714,0.01273,0.02202,0.0103,0.01417
H_ba,F,0.04762,0.05878,0.03454,0.02355,0.01535,0.05483,0.05088,0.006164
H_ba,F_ba,-0.009385,0.02579,0.01765,-0.003354,-0.0117,-0.01072,-0.02788,0.002373
H_ba,Cl,-0.08549,-0.1089,-0.1027,-0.04217,-0.03035,-0.001935,0.0139,0.03888
H_ba,Cl_ba,0.000751,-0.004225,0.004718,0.02559,0.004854,0.002443,-0.01049,-0.01242
H_ba,Br,-0.02582,-0.04236,-0.02028,-0.02,-0.02247,-0.03166,-0.06956,-0.0147
H_ba,Br_ba,-0.0007195,-0.001834,0.01015,-0.005162,-0.002956,-0.004159,0.008996,-0.003739
H_ba,I,-0.04028,-0.06772,-0.07856,-0.0621,0.01214,0.007926,0.007259,0.03348
H_ba,I_ba,-0.01181,0.005214,0.005781,0.01074,-0.005299,0.01211,0.01747,0.003037
H_ba,N_D,0.00715,-0.001789,0.01757,-0.04564,-0.06072,-0.04711,0.04405,0.04113
H_ba,N_a_D,0.02533,0.01412,-0.05249,-0.08249,-0.0401,-0.05,-0.1126,-0.1288
H_ba,N_ba_D,0.0363,0.05204,-0.01036,-0.006029,-0.006789,-0.05089,-0.08542,-0.09708
H_ba,Np_D,-0.0986,-0.05834,0.01661,0.1164,0.2692,0.2523,-0.01538,-0.06928
H_ba,N_SP2_D,-0.008402,-0.005536,0.01052,0.01364,0.007399,0.03357,0.01099,0.01627
H_ba,N_AMID_D,-0.02369,-0.03067,0.006315,0.00188,-0.05671,-0.08017,-0.07541,-0.01289
H_ba,Np_RES_D,-0.04001,-0.06967,-0.03115,-0.04061,-0.01735,-0.02427,-0.0974,-0.1579
H_ba,N_DA,0.00733,0.001969,-0.0305,0.004074,0.00745,0.008995,0.007288,0.008941
H_ba,N_a_DA,0.03564,0.006277,-0.01148,0.01741,0.05733,0.06511,-0.006475,0.01652
H_ba,O_DA,0.0191,-0.04311,-0.008615,0.06285,0.07996,-0.02956,-0.05487,-0.03238
H_ba,O_ba_DA,0.05995,-0.06468,-0.06688,0.0139,0.05929,0.06437,0.04958,-0.02042
H_ba,Met_DA,0.1204,0.1005,0.05553,-0.01704,-0.1225,-0.2233,-0.1933,-0.1272
H_ba,N_A,-0.003362,0.01393,-0.005763,0.002046,0.01192,0.006573,-0.005853,-0.02463
H_ba,N_a_A,-0.03366,-0.03285,0.02405,0.08304,0.09963,0.01996,-0.00742,0.05152
H_ba,O_A,0.02136,-0.005506,-0.03261,0.04369,0.07703,0.06144,0.009779,0.005406
H_ba,O_a_A,-0.002104,0.005403,-0.01164,-0.01383,-0.002044,0.0003143,-0.00512,0.01205
H_ba,On_A,0.02527,-0.1002,-0.02769,0.04882,0.001443,-0.1313,-0.1913,-0.1396
H_ba,O_SP2_A,0.04267,0.02299,0.01259,-0.006785,0.04051,0.06169,0.0002728,-0.01267
H_ba,O_AMID,-0.03231,-0.1093,-0.0559,0.0128,0.00499,-0.0799,-0.1474,-0.1377
H_ba,O_CAR,0.03452,-0.01088,-0.07066,-0.007146,0.07677,0.01886,-0.102,-0.175
H_ba,O_ALD,0.1499,0.1836,0.2551,0.3949,0.2932,0.1219,0.04304,0.08305
H_ba,N,-0.05922,-0.05491,-0.03463,-0.02253,-0.06235,-0.1217,-0.1149,-0.08328
H_ba,Np,-0.02875,-0.01206,-0.04006,-6.14e-05,0.02346,0.02386,0.04043,0.02727
H_ba,N_SP,-0.003264,-0.006242,-0.0007925,-0.01296,-0.005891,-0.005973,-0.007308,-0.01151
H_ba,O,-0.0006929,0.009355,0.001013,0.01146,0.01383,-0.005941,0.01315,-0.01074
H_ba,On,0.003105,-0.01186,-0.01677,0.006559,-0.02166,0.01161,-0.01636,0.00693
H_ba,S,0.05245,-0.07749,-0.1256,-0.05983,0.05475,0.03292,-0.05342,-0.09705
H_ba,S_a,0.01369,-0.02103,-0.005384,-0.003655,0.003686,-0.006973,-0.01086,-0.003956
